id,token,tag,nested_1,nested_2,wiki_id
102,алгоритм,B-TERM,B-TERM,B-TERM,Q8366:102
103,обработки,I-TERM,I-TERM,B-TERM,"Q750843:103,104"
104,данных,I-TERM,I-TERM,I-TERM,
105,Winnowing,I-TERM,B-TERM,,
106,.,O,,,
107,При,O,,,
108,использовании,O,,,
109,нереляционной,B-TERM,,,
110,БД,I-TERM,B-TERM,,Q8513:110
111,для,O,,,
112,выявления,O,,,
113,генетического,B-TERM,,,
114,сходства,I-TERM,,,
115,предложен,O,,,
116,вариант,O,,,
117,представления,O,,,
118,отпечатков,B-TERM,,,
119,структурных,I-TERM,,,
120,вариаций,I-TERM,,,
121,геномов,I-TERM,B-TERM,,Q7020:121
122,в,O,,,
123,виде,O,,,
124,«,O,,,
125,ключ,O,,,"Q20706915:125,126,127"
126,–,O,,,
127,значение,O,,,
128,».,O,,,
129,Выполнена,O,,,
130,программная,B-TERM,,,
131,реализация,I-TERM,,,
132,разработанной,O,,,
133,модели,B-TERM,,,Q1979154:133
134,.,O,,,
135,Проведены,O,,,
136,вычислительные,O,,,
137,эксперименты,O,,,
138,:,O,,,
139,1,O,,,
140,),O,,,
141,загрузка,O,,,
142,данных,O,,,
143,в,O,,,
144,БД,B-TERM,,,Q8513:144
145,с,O,,,
146,использованием,O,,,
147,одной,O,,,
148,и,O,,,
149,трех,O,,,
150,шард,B-TERM,,,
151,(,O,,,
152,серверов,B-TERM,,,Q44127:152
153,",",O,,,
154,где,O,,,
155,хранятся,O,,,
156,данные,O,,,
157,и,O,,,
158,осуществляются,O,,,
159,поиск,B-TERM,,,Q37112258:159
160,и,O,,,
161,обработка,B-TERM,,,"Q750843:161,162"
162,информации,I-TERM,,,
163,);,O,,,
164,2,O,,,
165,),O,,,
166,поиск,O,,,
167,совпадений,O,,,
168,выбранных,O,,,
169,наборов,B-TERM,,,
170,нуклеотидов,I-TERM,B-TERM,,Q28745:170
171,с,O,,,
172,БД,B-TERM,B-TERM,,Q8513:172
173,геномов,I-TERM,B-TERM,,Q7020:173
174,с,O,,,
175,использованием,O,,,
176,одной,O,,,
177,и,O,,,
178,трех,O,,,
179,шард,B-TERM,,,
180,;,O,,,
181,3,O,,,
182,),O,,,
183,расчет,O,,,
184,скорости,O,,,
185,поиска,O,,,
186,геномов,B-TERM,,,Q7020:186
187,в,O,,,
188,БД,B-TERM,,,Q8513:188
189,;,O,,,
190,4,O,,,
191,),O,,,
192,расчет,O,,,
193,скорости,O,,,
194,загрузки,O,,,
195,геномов,B-TERM,,,Q7020:195
196,в,O,,,
197,БД,B-TERM,,,Q8513:197
198,.,O,,,
199,Результатом,O,,,
200,экспериментов,O,,,
201,стало,O,,,
202,подтверждение,O,,,
203,возможности,O,,,
204,использования,O,,,
205,предложенного,O,,,
206,способа,O,,,
207,поиска,O,,,
208,генетического,B-TERM,,,
209,сходства,I-TERM,,,
210,.,O,,,
211,Продолжение,O,,,
212,работы,O,,,
213,может,O,,,
214,быть,O,,,
215,в,O,,,
216,направлениях,O,,,
217,:,O,,,
218,1,O,,,
219,),O,,,
220,решения,O,,,
221,задачи,O,,,
222,об,O,,,
223,определении,O,,,
224,момента,O,,,
225,",",O,,,
226,когда,O,,,
227,необходимо,O,,,
228,добавлять,O,,,
229,узел,B-TERM,,,
230,к,O,,,
231,кластеру,B-TERM,,,
232,при,O,,,
233,возрастании,O,,,
234,рассматриваемого,O,,,
235,количества,O,,,
236,выбранных,O,,,
237,наборов,B-TERM,,,
238,нуклеотидов,I-TERM,B-TERM,,Q28745:238
239,и,O,,,
240,увеличении,O,,,
241,числа,O,,,
242,геномов,B-TERM,,,Q7020:242
243,в,O,,,
244,БД,B-TERM,B-TERM,,Q8513:244
245,организмов,I-TERM,B-TERM,,Q7239:245
246,;,O,,,
247,2,O,,,
248,),O,,,
249,практического,O,,,
250,наполнения,O,,,
251,создаваемой,O,,,
252,БД,B-TERM,,,Q8513:252
253,как,O,,,
254,можно,O,,,
255,большим,O,,,
256,количеством,O,,,
257,реальных,O,,,
258,геномов,B-TERM,B-TERM,,Q7020:258
259,организмов,I-TERM,B-TERM,,
260,;,O,,,
261,3,O,,,
262,),O,,,
263,исследования,O,,,
264,геномных,B-TERM,,,
265,нарушений,I-TERM,,,
266,с,O,,,
267,целью,O,,,
268,оценки,O,,,
269,вероятности,O,,,
270,генетических,B-TERM,,,
271,отклонений,I-TERM,,,
272,на,O,,,
273,этапе,O,,,
274,распознавания,O,,,
275,потенциально,O,,,
276,возможного,O,,,
277,неблагоприятного,O,,,
278,развития,B-TERM,,,
279,организма,I-TERM,B-TERM,,Q7239:279
280,.,O,,,
