id,token,tag,nested_1,nested_2,nested_3,wiki_id
103,собственных,O,,,,
104,модулей,B-TERM,B-TERM,,,Q11883090:104
105,трансформации,I-TERM,B-TERM,,,Q65757353:105
106,предложена,O,,,,
107,концепция,B-TERM,,,,
108,программной,I-TERM,B-TERM,,,"Q241317:108,109"
109,платформы,I-TERM,I-TERM,,,
110,",",O,,,,
111,упрощающей,O,,,,
112,эти,O,,,,
113,задачи,O,,,,
114,.,O,,,,
115,Архитектура,B-TERM,,,,
116,платформы,I-TERM,B-TERM,,,Q241317:116
117,удовлетворяет,O,,,,
118,требованиям,O,,,,
119,простоты,O,,,,
120,подключения,O,,,,
121,сторонних,O,,,,
122,средств,B-TERM,B-TERM,,,Q39546:122
123,трансформации,I-TERM,B-TERM,,,Q65757353:123
124,",",O,,,,
125,переиспользования,O,,,,
126,отдельных,O,,,,
127,модулей,B-TERM,,,,Q11883090:127
128,",",O,,,,
129,а,O,,,,
130,также,O,,,,
131,интеграции,O,,,,
132,результирующих,B-TERM,,,,
133,средств,I-TERM,B-TERM,B-TERM,,Q39546:133
134,трансформации,I-TERM,I-TERM,B-TERM,,Q65757353:134
135,в,O,,,,
136,другие,O,,,,
137,системы,B-TERM,,,,Q121182:137
138,",",O,,,,
139,в,O,,,,
140,том,O,,,,
141,числе,O,,,,
142,в,O,,,,
143,системы,B-TERM,B-TERM,,,Q121182:143
144,тестирования,I-TERM,,,,
145,.,O,,,,
146,Строительными,O,,,,
147,блоками,O,,,,
148,создаваемых,O,,,,
149,систем,B-TERM,B-TERM,,,Q39546:149
150,трансформации,I-TERM,B-TERM,,,Q65757353:150
151,служат,O,,,,
152,отдельные,O,,,,
153,модули,B-TERM,B-TERM,,,Q11883090:153
154,трансформации,I-TERM,B-TERM,,,Q65757353:154
155,",",O,,,,
156,упакованные,O,,,,
157,в,O,,,,
158,Docker,B-TERM,,,,
159,-,I-TERM,,,,
160,контейнеры,I-TERM,,,,
161,.,O,,,,
162,Программный,B-TERM,,,,
163,доступ,I-TERM,,,,
164,к,O,,,,
165,каждому,O,,,,
166,модулю,B-TERM,,,,Q11883090:166
167,осуществляется,O,,,,
168,при,O,,,,
169,помощи,O,,,,
170,gRPC,B-TERM,,,,Q26356541:170
171,.,O,,,,
172,Загруженные,O,,,,
173,в,O,,,,
174,платформу,B-TERM,,,,Q241317:174
175,модули,B-TERM,,,,Q11883090:175
176,могут,O,,,,
177,быть,O,,,,
178,выстроены,O,,,,
179,в,O,,,,
180,конвейер,B-TERM,,,,
181,трансформации,I-TERM,,,,
182,автоматически,O,,,,
183,или,O,,,,
184,вручную,O,,,,
185,при,O,,,,
186,помощи,O,,,,
187,встроенного,O,,,,
188,стороннего,O,,,,
189,редактора,B-TERM,,,,
190,диаграмм,I-TERM,,,,
191,потоков,I-TERM,,,,
192,данных,I-TERM,,,,
193,SciVi,I-TERM,B-TERM,,,
194,.,O,,,,
195,Совместимость,O,,,,
196,отдельных,O,,,,
197,модулей,B-TERM,,,,Q11883090:197
198,контролируется,O,,,,
199,при,O,,,,
200,помощи,O,,,,
201,автоматического,O,,,,
202,анализа,B-TERM,,,,
203,программных,I-TERM,B-TERM,,,"Q4379777:203,204"
204,интерфейсов,I-TERM,I-TERM,,,
205,.,O,,,,
206,На,O,,,,
207,основании,O,,,,
208,спецификации,B-TERM,,,,
209,конвейера,I-TERM,,,,
210,в,O,,,,
211,формате,O,,,,
212,",",O,,,,
213,поддерживаемом,O,,,,
214,SciVi,B-TERM,,,,
215,",",O,,,,
216,а,O,,,,
217,также,O,,,,
218,gRPC,B-TERM,,,,
219,-,I-TERM,,,,
220,спецификаций,I-TERM,,,,
221,отдельных,O,,,,
222,модулей,B-TERM,,,,Q11883090:222
223,комплексируется,O,,,,
224,единое,O,,,,
225,многоконтейнерное,B-TERM,,,,
226,приложение,I-TERM,,,,
227,",",O,,,,
228,которое,O,,,,
229,может,O,,,,
230,быть,O,,,,
231,интегрировано,O,,,,
232,в,O,,,,
233,другие,O,,,,
234,системы,B-TERM,,,,Q39546:234
235,",",O,,,,
236,а,O,,,,
237,также,O,,,,
238,протестировано,O,,,,
239,на,O,,,,
240,пополняемом,O,,,,
241,наборе,O,,,,
242,тестов,O,,,,
243,.,O,,,,
244,Ожидаемые,O,,,,
245,и,O,,,,
246,фактические,O,,,,
247,результаты,B-TERM,,,,
248,трансформации,I-TERM,B-TERM,B-TERM,,Q65757353:248
249,запроса,I-TERM,I-TERM,,,
250,доступны,O,,,,
251,для,O,,,,
252,просмотра,O,,,,
253,в,O,,,,
254,графическом,B-TERM,,,,
255,виде,I-TERM,,,,
256,в,O,,,,
257,разработанном,O,,,,
258,ранее,O,,,,
259,средстве,B-TERM,,,,
260,визуализации,I-TERM,B-TERM,,,Q6504956:260
261,.,O,,,,
