id,token,tag,nested_1,nested_2,nested_3,wiki_id
145,и,O,,,,
146,их,O,,,,
147,сравнительный,B-TERM,,,,
148,анализ,I-TERM,B-TERM,,,Q217602:148
149,.,O,,,,
150,Описана,O,,,,
151,архитектура,B-TERM,B-TERM,,,Q477538:151
152,информационно,I-TERM,B-TERM,,,"Q831795:152,153,154,155"
153,-,I-TERM,I-TERM,,,
154,аналитической,I-TERM,I-TERM,,,
155,системы,I-TERM,I-TERM,,,
156,для,O,,,,
157,анализа,B-TERM,B-TERM,,,Q217602:157
158,набора,I-TERM,B-TERM,,,
159,геномов,I-TERM,I-TERM,B-TERM,,
160,.,O,,,,
161,Система,B-TERM,,,,Q831795:161
162,предназначена,O,,,,
163,для,O,,,,
164,анализа,B-TERM,B-TERM,,,Q217602:164
165,множества,I-TERM,B-TERM,,,
166,геномов,I-TERM,I-TERM,B-TERM,,Q7020:166
167,и,O,,,,
168,их,O,,,,
169,классификации,O,,,,
170,",",O,,,,
171,а,O,,,,
172,именно,O,,,,
173,для,O,,,,
174,анализа,B-TERM,B-TERM,,,Q217602:174
175,генотипов,I-TERM,B-TERM,,,Q106016:175
176,внутри,O,,,,
177,одного,O,,,,
178,вида,O,,,,
179,живых,B-TERM,,,,"Q7239:179,180"
180,организмов,I-TERM,,,,
181,",",O,,,,
182,поскольку,O,,,,
183,методы,B-TERM,,,,Q1799072:183
184,направлены,O,,,,
185,для,O,,,,
186,выделения,O,,,,
187,различий,O,,,,
188,геномов,B-TERM,,,,Q7020:188
189,",",O,,,,
190,имеющих,O,,,,
191,схожую,O,,,,
192,структуру,B-TERM,,,,Q6671777:192
193,.,O,,,,
