id,text
2019-17-2-2,"При  <Task> формировании единого информационного пространства (ЕИП) </Task>  широко используется  <Method> моделирование как объектов информационного обмена, так и инфраструктуры ЕИП </Method> . Несмотря на большое разнообразие подходов к решению данной задачи, в частности с использованием метода матрицы структуры проекта, предлагаемые решения не обеспечивают непосредственную связь между элементами описываемой структуры и используемыми аппаратными и программными средствами. Также существующие подходы к моделированию информационной структуры  не учитывают возможные внешние и внутренние ограничения, накладываемые на размещение компонентов ЕИП в пространстве предприятия. В работе  <Contrib>  предлагается  подход к формализации структуры ЕИП предприятия-разработчика МЭС </Contrib>   <Goal> призван устранить данные недостатки </Goal> . В статье  <Contrib>  рассмотрена обобщенная модель структурной организации единого информационного пространства по параллельному методу интеграции средств поддержки жизненного цикла изделия </Contrib> . Модель включает в себя описание элементов структуры информационного пространства, каналов связи, их статических и динамических характеристик. Предложенная модель также  <Adv> учитывает ограничения, накладываемые на формирование структуры ЕИП </Adv> . Имитационное моделирование структурной организации ЕИП, представленной в виде совокупности многоканальных систем массового обслуживания позволило сделать  выводы о пропускной способности и надежность рассматриваемых вариантов организации ЕИПс учетом предлагаемых к использованию аппаратных (серверное решение) и программных (система управления базами данных) средств."
2019-17-2-3,"Данная работа посвящена  <Contrib> разработке подхода к каталогизации разнородных web- сервисов территориально распределенных вычислительных узлов в вычислительно- аналитической геологической среде, а также принципов по созданию системы мониторинга web-сервисов, присутствующих в каталоге </Contrib> . Для этого в статье  <Contrib> рассматриваются используемые в мире подходы по организации каталогов web-сервисов </Contrib>  на основе  <Tool> SOAP (Simple Object Access Protocol) протокола </Tool> , с использованием  <Tool> UDDI (Universal Description Discovery and Integration) реестров </Tool> . На основе исследованного материала  <Contrib> предлагается схема для описания разнородных web-сервисов </Contrib>  с возможностью дальнейшего создания каталога web-сервисов, включающего функции поиска и получения метаинформации о каждом сервисе в каталоге. Также в статье кратко  <Contrib> описываются принципы, на основе которых функционирует вычислительно- аналитическая геологическая среда, в рамках которой разрабатывается система каталогизации и мониторинга </Contrib> , и   <Contrib> приводится список территориально распределенных web-сервисов по обработке разнородных данных, используемых в данной среде  </Contrib> ."
2019-17-2-4,"Долгое время функциональное программирование на Java было невозможно. Однако в 8 версии Java языке появились лямбда-выражения. Благодаря поддержке стандартных библиотечных классов (Stream, Optional и т. д.) на Java стало возможно описывать преобразования над данными в функциональном стиле. Java - достаточно старый язык, на нем написано большое количество императивного кода. Для того, чтобы воспользоваться преимуществами нового подхода, требуется выполнить нетривиальный рефакторинг, что в случае осуществления человеком может быть весьма утомительным, легко совершить ошибку. К счастью, для достаточно большого количества ситуаций данный рефакторинг можно безопасно осуществить автоматически. На основе  <Tool> IntelliJ Idea </Tool>  был  <Contrib> разработан программный инструмент, который позволяет обнаружить места, где возможно автоматическое преобразование императивного кода в эквивалентный </Contrib>  с использованием  <Tool> Stream API </Tool> , а также автоматическое исправление, которое позволяет произвести замену. Рефакторинг пользуется средствами  <Tool> IntelliJ Idea </Tool>  для анализа Java кода, а также интегрируется в саму IDE. Одним из основных критериев корректности работы алгоритма является безопасность данного преобразования. Пользователь не может доверять инструменту, если преобразование может изменять семантику кода. В данной статье  <Contrib> рассматриваются различные ограничения, которые накладываются на шаблоны кода, для того, чтобы преобразование без искажения семантики было возможно </Contrib> . Данный рефакторинг был протестирован на различных библиотеках, для проверки сохранения семантики, путем проверки результатов тестирования до и после применения рефакторинга. В данной статье не будет обсуждаться влияние использования Stream API на производительность приложения."
2019-17-2-5,"В статье приведен  <Contrib> обзор существующих систем  <Task> проверки заданий по программированию </Task>  </Contrib> , кратко  <Contrib> описано современное состояние архитектуры системы NSUts </Contrib> , созданной в Новосибирском государственном университете, и практика ее использования  <Use> в учебном процессе  </Use>  и   <Use> в олимпиадах по программированию различного уровня  </Use> . Приведен  <Contrib> анализ опыта использования таких систем </Contrib>  и  <Contrib> обозначены перспективы их развития </Contrib> ."
2019-17-2-6,"Целью данного исследования является  <Goal> совершенствование механизма трудоустройства выпускников вузов по специальностям с учётом нужд региона  </Goal>  с использованием современных компьютерных технологий. В статье  <Contrib> рассматриваются преимущества и методологические аспекты применения инструментария географических информационных систем </Contrib> , которые являются симбиозом возможностей управления большими базами данных и пространственной визуализации, характерной для топографических карт с использованием  <Tool> QGIS </Tool> . Каждый информационный слой представлен таблицей реляционной базы данных или электронной таблицей, в которых имеется поле привязки к географическому местоположению, что позволяет разместить данные на карте. Научная значимость статьи обусловлена тем, что данная технология способствует  <Use> созданию единого информационного пространства рынка работодателей по востребованным специальностям </Use> , а также  <Use> активному налаживанию сотрудничества между вузами и работодателями с целью совершенствования механизма трудоустройства выпускников вузов на основе компетентностного подхода </Use> . Результатом исследования являются  <Contrib> методологические аспекты применения  <Tool> открытой геоинформационной системы QGIS </Tool>  для  <Task> управления трудоустройством молодых специалистов </Task>  </Contrib> . Кроме того, поставлены задачи для перспективного развития механизма применения геоинформационных технологий в трудоустройстве выпускников вузов."
2019-17-2-7,"Сложность астрофизических процессов заключается в совместном рассмотрении компонент различной природы. Так, например, в задаче столкновения галактик рассматривается трехмерная динамика межзвездного газа и звездной компоненты. В основе моделирования этих компонент могут лежать совершенно разные классы численных методов. Одним из возможных решений этой проблемы является использование  <Method> эйлерово-лагранжева подхода </Method> , в котором физические величины сосредоточены в материальных точках, что характерно для  <Method> метода SPH (Smoothed Particle Hydrodynamics) </Method> , а расчет сил производится на адаптивной сетке, привязанной к системе материальных точек. Такой подход единообразно учитывает как динамику сплошной среды, так и дискретных частиц, а также позволяет устранить ряд недостатков, присущих оригинальному методу. Расчет гравитационного взаимодействия осуществляется путем решения  <Method>  уравнения Пуассона для гравитационного потенциала </Method> . При этом все частицы проецируются на расчетную сетку и уже по ней вычисляются значения потенциала в каждой ячейке. Решение  <Method>  уравнения Пуассона для гравитационного потенциала  </Method>  выполняется с использованием   <Method> быстрого преобразования Фурье  </Method> . В статье  <Contrib> описан  новый код «Виртуальный планетарий» для моделирования астрофизических объектов  </Contrib> на основе  <Method> метода SPH </Method> , дополненным  <Method>  методом Годунова для вычисления потоков давления и импульса между частицами </Method> , и  <Method> методом быстрого преобразования Фурье  </Method>  для решения  <Method>  уравнения Пуассона для гравитационного потенциала </Method> . В работе описано обоснование для перехода к такой вычислительной модели,  <Contrib> детально описаны кинетические и гидродинамические подходы </Contrib> .  <Contrib> Выполнено моделирование коллапса изотермического газового облака </Contrib> ,  <Contrib> показана возможность метода воспроизводить развитие неустойчивостей в виде образования двух рукавов плотности </Contrib> ."
2019-17-2-8,"Мобильные устройства часто используются для образовательных целей, учитывая их высокую доступность и портативность. Однако образовательные возможности мобильных устройств ограничены из-за отсутствия качественных IDE. Большинство сред разработки языка C++ для Android не имеют автодополнения и анализа кода, в то время как остальные предоставляют эти возможности с крайне низкой производительностью. В этой работе мы  <Contrib> описываем технологию переноса программного обеспечения </Contrib> , примененную к  <Tool> компилятору Clang </Tool>  (и другим необходимым инструментам) и  <Contrib>  предлагаем метод ускорения компиляции, автодополнения и анализа кода в нашей IDE </Contrib> . Наряду с этим, мы  <Contrib>  предлагаем методы оптимизации пользовательского интерфейса </Contrib> . В работе  <Contrib>  описан основанный на регулярных выражениях эвристический метод для генерации предкомпилированных заголовков </Contrib> , который имеет  <Adv> низкие требования к процессору и ОЗУ </Adv> . Эффективность метода проверена на различных образовательных примерах."
2019-17-2-9,"В процессе бурения нефтегазовых скважин требуется  <Task>  оказание удаленной поддержки с использованием существующих каналов связи с офисом </Task> , заключающейся в контроле параметров и принятии неотложных решений. Наиболее распространена спутниковая и мобильная связь, для которой характерна низкая скорость приема и передачи данных, частые разрывы, использование NAT. В рамках данной работы  <Contrib> разработано программное средство прозрачного доступа к параметрам бурения и данным скважинной телеметрической системы </Contrib>  с целью  <Goal> организации удаленного сопровождения по существующим каналам связи с учетом их ограничений </Goal> . В основу программного средства легла реализация  <Method> протокола SSH </Method> , что обеспечило  <Adv> сжатие и шифрование передаваемых данных </Adv>  и  <Adv> прозрачный доступ к TCP-сервисам на буровой </Adv> . Благодаря этому возможно использование существующего ПО для  <Use> доступа к данным телеметрической системы </Use> , что  <Adv>  позволяет снизить объем передаваемых данных в сравнении с ПО удаленных рабочих столов </Adv> . Программное средство прошло апробацию в условиях, близким к полевым, и показало свою пригодность к решению поставленных задач."
2019-17-2-10,Приведены результаты применения  <Method> глубоких нейронных сетей </Method>  для  <Task> детектирования вредоносной активности в сетевом трафике </Task> . В процессе исследованияреализованы 2 вида нейронной сети:  <Method> рекуррентный автоэнкодер </Method>  и  <Method> генеративно-состязательная сеть </Method> . Приведены результаты исследования на  <Example>  наборе данных CICIDS2017  </Example> .
2019-17-2-11,"В статье рассмотрен обязательный для высших образовательных учреждений РФ процесс проведения практических занятий студентов, приведены ссылки на нормативные документы, описан подход, устоявшийся в НИУ МЭИ. До начала проведения практики каждый студент должен быть прикреплен к определённой базе практики – учреждению с соответствующей профилю подготовки обучающегося специализацией, которое будет осуществлять проведение и контроль практических занятий. Если база практики внешняя, т.е. не входит в организационную структуру образовательного учреждения, то с ней должен быть заключен договор. В статье представлен  <Contrib> опыт разработки и внедрения в НИУ МЭИ информационной системы, автоматизирующей процесс распределения студентов по базам практик и подготовку сопутствующей документации  </Contrib> . Программная реализация включает модуль импорта данных из других информационных систем, модуль редактирования календарного графика практик, модуль ведения справочной информации о предприятиях-партнёрах, модуль формирования и согласования заявок с распределением студентов, модуль подготовки печатных форм документов, модуль построения статистической отчётности . Статья  <Contrib>  описывает работу каждого из модулей  </Contrib> , отмечаются их преимущества перед ручной обработкой данных.  <Contrib>  Раскрыты некоторые технические решения и характеристики программной системы  </Contrib> , отдельное внимание уделено разграничению прав доступа."
2019-17-2-12,"Статья посвящена вопросу  <Task> поддержки процесса создания средства трансформации естественно-языковых (ЕЯ) запросов в SPARQL-запросы  </Task>  (далее – средство трансформации). Во введении описаны актуальность  <Task>  задачи  понимания естественно-языковых запросов информационными системами  </Task> , а также преимущества использования  <Method> онтологий </Method>  как средства представления знаний для решения данной задачи. Обозначена роль средств трансформации в системах с ЕЯ-запросами к реляционным базам данных. На основании  <Contrib> анализа проблем, связанных с комплексированием и тестированием существующих средств трансформации </Contrib> , а также с целью  <Goal> поддержки создания и тестирования собственных модулей трансформации </Goal>   <Contrib>  предложена концепция программной платформы, упрощающей эти задачи </Contrib> . Архитектура платформы  <Adv> удовлетворяет требованиям простоты подключения сторонних средств трансформации, переиспользования отдельных модулей, а также интеграции результирующих средств трансформации в другие системы </Adv> , в том числе в системы тестирования. Строительными блоками создаваемых систем трансформации служат отдельные модули трансформации, упакованные в  <Tool>  Docker-контейнеры </Tool> . Программный доступ к каждому модулю осуществляется при помощи  <Tool> gRPC </Tool> .Загруженные в платформу модули могут быть выстроены в конвейер трансформации автоматически или вручную при помощи встроенного стороннего  <Tool>  редактора диаграмм потоков данных SciVi </Tool> . Совместимость отдельных модулей контролируется при помощи автоматического анализа программных интерфейсов. На основании спецификации конвейера в формате, поддерживаемом  <Tool>  SciVi  </Tool> , а также gRPC-спецификаций отдельных модулей комплексируется единое многоконтейнерное приложение, которое  <Use> может быть интегрировано в другие системы </Use> , а также протестировано на пополняемом наборе тестов. Ожидаемые и фактические результаты трансформации запроса доступны для просмотра в графическом виде в  <Contrib> разработанном ранее средстве визуализации </Contrib> ."
2019-17-2-13,"В данной статье рассматривается проблема  <Task> защиты от несанкционированного доступа к данным путем идентификации пользователей по биометрическим характеристикам, а именно, клавиатурному почерку </Task>  . Для решения этой задачи авторами была  <Contrib> проведена серия опытов для получения статистической выборки образцов клавиатурного почерка </Contrib> , которые используются в качестве биометрической характеристики для установления личности ее владельца. Для анализа данных и определения автора конкретного образца почерка в работе рассматривается  <Method> метод k-средних </Method> , являющийся одним из наиболее простых и эффективных статистических методов классификации в случае, когда число кластеров заранее известно. Оценка эффективности предложенного метода для решения поставленной задачи оценивается с помощью  <Method> коэффициентов ложного доступа и ложного отказа в доступе </Method> , которые являются основными характеристиками биометрических систем аутентификации. Полученные результаты позволяют сделать вывод о  <Conc> наличии ряда ограничений при использовании данного метода, возникающих в силу того, что данная задача является слабоформализуемой, зависящей от множества факторов, в том числе и не поддающихся математическому описанию, таких как нестабильность клавиатурного почерка, объясняемая изменением психофизиологического состояния пользователя, эргономичностью клавиатуры и т.д. </Conc>  Учитывая все вышеупомянутые особенности, дальнейшее решение задачи предлагается рассматривать в перспективе использования  методов, основанных на интеллектуальной обработке данных, которые позволяют обнаруживать в потоке данных скрытые закономерности и зависимости."
2019-17-3-1," <Contrib> Рассматриваются алгоритмы  <Task> построения триангуляции внутренней поверхности коронарных артерий сердца </Task>  по данным компьютерной томографии </Contrib> .  <Task> Точное определение геометрии сосудов </Task>  необходимо для  <Use> построения гидродинамической модели кровоснабжения сердца </Use>  и  <Use> расчета параметров кровотока с помощью уравнений Навье – Стокса </Use> . Для восстановления трехмерной геометрии применяется комбинация двух основных методов:  <Method> трехмерного алгоритма роста области из семени </Method>  и  <Method> ячеечного метода </Method> , использующего разбиение пространства на тетраэдры. При этом используется  <Tool> тетраэдрическая сеть </Tool> , предложенная в работах S. Chan, E. Purisima (1998) и V. Skala (2000), в которой тетраэдры строятся в кубической решетке на общих гранях смежных кубов. Эта сеть строится не на всем пространстве, а только в окрестности границы множества вокселей, вычисленного на первом этапе как результат применения трехмерного алгоритма роста области."
2019-17-3-2,"
Несмотря на большое количество существующих методов диагностики головного мозга, он остается наименее изученной частью человеческого организма. Электроэнцефалография (ЭЭГ)– один из наиболее популярных методов исследования мозговой активности. Это обусловлено относительной дешевизной, безвредностью и мобильностью оборудования. При анализе данных ЭЭГ возникает проблема решения  <Task> обратной задачи электроэнцефалографии – локализации источников электрической активности мозга </Task> . Ее можно сформулировать следующим образом: по сигналам, регистрируемым на поверхности головы, необходимо определить, в какой области мозга расположены источники этих сигналов. Целью исследования является  <Goal> разработка программной системы для локализации источников мозговой активности на основе совместного анализа данных ЭЭГ и сМРТ </Goal> . Существуют различные подходы к решению  <Task>  обратной задачи ЭЭГ  </Task> . Для получения наиболее точных результатов некоторые из них предполагают использование данных сМРТ (изображений структурной магнитнорезонансной томографии) , описывающих индивидуальную анатомию головы человека. В этой работе используется один из таких подходов –  <Method> EMSICA (Electromagnetic Spatiotemporal Independent Component Analysis) </Method> , предложенный A. Tsai. В статье  <Contrib>  рассмотрены основные этапы работы системы  </Contrib> , такие как предварительная обработка исходных данных; расчет специальной матрицы подхода EMSICA, значения которой показывают уровень активности определенного участка мозга; визуализация источников активности мозга на его трехмерной модели."
2019-17-3-3,"Статья посвящена  <Contrib> разработке методов  <Task> порождения новых знаний на основе анализа текстов естественного языка </Task>   </Contrib> . Для  <Task> извлечения знаний из текстов на естественном языке </Task>  используется  <Method> метод представления предложений в виде двухместных предикатов с введенной константой ситуацией </Method> . Для  <Task> представления знаний в формальном виде </Task>  используются  <Method> бескванторные предложения логики предикатов </Method> , а также  <Tool> язык OWL DL </Tool> .  <Task> Порождение новых знаний  </Task> реализуется при помощи автоматических средств логического вывода с использованием заранее заданных  <Method> шаблонов правил вывода </Method> . Разработана программная система, которая дает возможность пользователям получать ответы на определенные вопросы, относящиеся к данным текстам естественного языка. Ответы строятся на естественном языке при этом  <Adv> используются не только явно содержащиеся в обрабатываемом документе знания, но и знания, порожденные при помощи автоматических средств логического вывода </Adv> ."
2019-17-3-4,"Музыкальная рекомендательная система (МРС) помогает пользователям музыкальных стриминговых сервисов  <Use> находить интересующий их музыкальный контент  </Use> . Разреженность пользовательских оценок – одна из главных проблем исследования МРС. Она вызвана тем, что пользователь оценивает лишь малую долю объектов музыкального каталога. В результате МРС часто не обладает достаточным набором данных для составления рекомендаций. В статье  <Contrib>  предложен подход для решения проблемы разреженности пользовательских оценок на основе использования оценок связанных объектов </Contrib> .   <Contrib> Описана гибридная МРС, использующая как нормализованные пользовательские оценки треков, альбомов, артистов, жанров, так и информацию о связях между объектами разных типов </Contrib> . Произведена оценка эффективности разработанной МРС, а также произведен сравнительный анализ предложенного подхода с коллаборативным методом предсказания пользовательских предпочтений."
2019-17-3-5,"Статья посвящена  <Contrib> разработке автоматизированных методов  <Task> интеграции знаний, извлеченных из текстов естественного языка </Task>   </Contrib> . Для решения этой задачи используются  <Method> методы преобразования предложений естественного языка во фрагменты атомарных диаграмм </Method> . Знания, извлеченные из текстов, формализуются при помощи атомарных предложений сигнатуры, состоящей из символов констант, двухместных предикатов и дополнительных констант-ситуаций.  <Contrib> Разработаны методы интеграции знаний, содержащихся в нескольких предложениях естественного языка, позволяющие учитывать их семантические контексты </Contrib> ."
2019-17-3-6,"В последнее время увеличивается количество окружающих нас электронных приборов, возрастает и их техническая сложность. В то же время инструкции к данным приборам читает только малая часть людей. Также возможны ситуации, когда инструкции или специалиста нет рядом с устройством. Поэтому часто встречаются случаи неправильного использования техники. В связи с этим закономерно встает задача   <Task> быстрого распознавания типа устройства с последующим выводом информации о данном устройстве  </Task> . В работе описывается процесс  <Contrib> реализации системы распознавания типа устройства с использованием  <Method> методов машинного обучения </Method> , с последующим выводом на экран его основных заранее отобранных характеристик и отображением пользователю набора вероятных инструкций для данного типа устройств </Contrib> . Поскольку направлением данной работы является  <Task> нахождение похожих объектов </Task> , а также их  <Task> классификация на основе информации о внешнем представлении объекта </Task> , то рассматриваются  <Method> алгоритмы получения признаков объекта из его изображения </Method> . В статье  <Contrib> предлагается подход получения определяющих признаков объекта на основе его внешнего представления (контуров) </Contrib> ."
