id,token,tag,nested_1,nested_2,wiki_id
104,ООП,I-TERM,B-TERM,,Q79872:104
105,к,O,,,
106,проектированию,B-TERM,,,
107,баз,I-TERM,B-TERM,,"Q8513:107,108"
108,данных,I-TERM,I-TERM,,
109,.,O,,,
110,Отсутствие,O,,,
111,универсальной,O,,,
112,модели,B-TERM,,,"Q1172480:112,113"
113,данных,I-TERM,,,
114,с,O,,,
115,проработанным,O,,,
116,математическим,B-TERM,,,
117,аппаратом,I-TERM,,,
118,(,O,,,
119,как,O,,,
120,в,O,,,
121,случае,O,,,
122,реляционных,B-TERM,,,"Q192588:122,123,124"
123,баз,I-TERM,B-TERM,,
124,данных,I-TERM,I-TERM,,
125,),O,,,
126,и,O,,,
127,сегодня,O,,,
128,является,O,,,
129,основной,O,,,
130,проблемой,O,,,
131,распространения,O,,,
132,ООСУБД,B-TERM,,,Q4330533:132
133,.,O,,,
134,Однако,O,,,
135,применение,O,,,
136,реляционных,B-TERM,,,"Q3932296:136,137"
137,СУБД,I-TERM,B-TERM,,
138,порождает,O,,,
139,ряд,O,,,
140,проблем,O,,,
141,",",O,,,
142,которые,O,,,
143,наиболее,O,,,
144,остро,O,,,
145,ощущаются,O,,,
146,в,O,,,
147,таких,O,,,
148,областях,O,,,
149,",",O,,,
150,как,O,,,
151,системы,B-TERM,,,"Q184793:151,152,153"
152,автоматизированного,I-TERM,,,
153,проектирования,I-TERM,,,
154,",",O,,,
155,автоматизированное,B-TERM,,,
156,производство,I-TERM,,,
157,",",O,,,
158,системы,B-TERM,,,Q13407144:158
159,",",O,,,
160,основанные,O,,,
161,на,O,,,
162,знаниях,B-TERM,,,Q9081:162
163,",",O,,,
164,и,O,,,
165,др,O,,,
166,.,O,,,
167,ООБД,B-TERM,,,Q118171:167
168,позволяют,O,,,
169,объединить,O,,,
170,программный,B-TERM,,,"Q128751:170,171"
171,код,I-TERM,,,
172,и,O,,,
173,данные,B-TERM,,,Q42848:173
174,",",O,,,
175,избежать,O,,,
176,различий,O,,,
177,между,O,,,
178,представлениями,B-TERM,,,"Q3478658:178,179"
179,информации,I-TERM,,,
180,в,O,,,
181,базе,B-TERM,,,Q8513:181
182,и,O,,,
183,прикладной,B-TERM,,,"Q166142:183,184"
184,программе,I-TERM,,,
185,",",O,,,
186,вследствие,O,,,
187,чего,O,,,
188,интерес,O,,,
189,к,O,,,
190,ним,O,,,
191,проявляют,O,,,
192,современные,O,,,
193,разработчики,O,,,
194,.,O,,,
195,Современный,O,,,
196,рынок,O,,,
197,программного,B-TERM,,,
198,инструментария,I-TERM,,,
199,представлен,O,,,
200,рядом,O,,,
201,ООСУБД,B-TERM,,,Q4330533:201
202,",",O,,,
203,но,O,,,
204,ни,O,,,
205,одна,O,,,
206,из,O,,,
207,них,O,,,
208,не,O,,,
209,может,O,,,
210,конкурировать,O,,,
211,с,O,,,
212,крупнейшими,O,,,
213,поставщиками,O,,,
214,СУБД,B-TERM,,,Q176165:214
215,.,O,,,
