id,token,tag,nested_1,nested_2,nested_3,wiki_id
134,элементов,B-TERM,,,,
135,структуры,I-TERM,B-TERM,B-TERM,,Q6671777:135
136,информационного,I-TERM,I-TERM,B-TERM,,"Q4202250:136,137"
137,пространства,I-TERM,I-TERM,I-TERM,,
138,",",O,,,,
139,каналов,B-TERM,,,,"Q733553:139,140"
140,связи,I-TERM,,,,
141,",",O,,,,
142,их,O,,,,
143,статических,B-TERM,,,,
144,и,O,,,,
145,динамических,B-TERM,,,,
146,характеристик,I-TERM,,,,
147,.,O,,,,
148,Предложенная,O,,,,
149,модель,B-TERM,,,,Q193946:149
150,также,O,,,,
151,учитывает,O,,,,
152,ограничения,O,,,,
153,",",O,,,,
154,накладываемые,O,,,,
155,на,O,,,,
156,формирование,O,,,,
157,структуры,B-TERM,B-TERM,,,Q6671777:157
158,ЕИП,I-TERM,B-TERM,,,
159,.,O,,,,
160,Имитационное,B-TERM,,,,
161,моделирование,I-TERM,B-TERM,,,
162,структурной,I-TERM,I-TERM,B-TERM,B-TERM,
163,организации,I-TERM,I-TERM,I-TERM,I-TERM,
164,ЕИП,I-TERM,I-TERM,I-TERM,B-TERM,
165,",",O,,,,
166,представленной,O,,,,
167,в,O,,,,
168,виде,O,,,,
169,совокупности,O,,,,
170,многоканальных,B-TERM,,,,
171,систем,I-TERM,,,,
172,массового,I-TERM,,,,
173,обслуживания,I-TERM,,,,
174,позволило,O,,,,
175,сделать,O,,,,
176,выводы,O,,,,
177,о,O,,,,
178,пропускной,B-TERM,,,,"Q870845:178,179"
179,способности,I-TERM,,,,
180,и,O,,,,
181,надежность,O,,,,
182,рассматриваемых,O,,,,
183,вариантов,O,,,,
184,организации,B-TERM,,,,
185,ЕИП,I-TERM,B-TERM,,,
186,с,O,,,,
187,учетом,O,,,,
188,предлагаемых,O,,,,
189,к,O,,,,
190,использованию,O,,,,
191,аппаратных,B-TERM,,,,Q3966:191
192,(,O,,,,
193,серверное,B-TERM,,,,
194,решение,I-TERM,,,,
195,),O,,,,
196,и,O,,,,
197,программных,B-TERM,,,,Q7397:197
198,(,O,,,,
199,система,B-TERM,,,,"Q176165:199,200,201,202"
200,управления,I-TERM,,,,
201,базами,I-TERM,,,,
202,данных,I-TERM,,,,
203,),O,,,,
204,средств,B-TERM,,,,
205,.,O,,,,
